Interval=	0.001 s
ExcelDateTime=	4.5714686356866121e+004	2/26/2025 16:28:21.233233
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
8.36	0.6236875
8.361	0.65675
8.362	0.40075
8.363	0.0005625
8.364	0.0475
8.365	0.3855625
8.366	0.3841875
8.367	0.04725
8.368	-0.242125
8.369	-0.231875
8.37	-0.032125
8.371	-0.166125
8.372	-0.320375
8.373	-0.153125
8.374	0.0448125
8.375	0.151375
8.376	0.20625
8.377	0.3415625
8.378	0.187
8.379	-0.0096875
8.38	-0.0511875
8.381	-0.123
8.382	-0.128375
8.383	-0.1299375
8.384	-0.0009375
8.385	0.33775
8.386	0.47425
8.387	0.1905625
8.388	0.35425
8.389	0.697875
8.39	0.5808125
8.391	0.4146875
8.392	0.153125
8.393	-0.1151875
8.394	-0.2216875
8.395	0.019
8.396	0.5135
8.397	0.7609375
8.398	0.6351875
8.399	-0.1235
8.4	-0.4180625
8.401	-0.12025
8.402	0.0030625
8.403	0.3113125
8.404	0.5158125
8.405	0.633125
8.406	0.6304375
8.407	0.257
8.408	-0.0205
8.409	0.3650625
8.41	0.6349375
8.411	0.1011875
8.412	0.02675
8.413	-0.2529375
8.414	-0.3768125
8.415	0.127875
8.416	0.216875
8.417	0.434375
8.418	0.412375
8.419	0.0370625
8.42	-0.2609375
8.421	-0.0858125
8.422	0.059375
8.423	0.006375
8.424	0.3575625
8.425	0.7923125
8.426	1.399938
8.427	1.237375
8.428	0.043125
8.429	-0.1854375
8.43	0.730625
8.431	1.4405
8.432	0.715125
8.433	-0.2718125
8.434	-0.5044375
8.435	-0.3210625
8.436	0.1999375
8.437	0.2579375
8.438	-0.020625
8.439	-0.00525
8.44	0.01325
8.441	-0.1849375
8.442	-0.0893125
8.443	0.1635625
8.444	0.2104375
8.445	-0.0279375
8.446	-0.3014375
8.447	0.0634375
8.448	0.494875
8.449	0.478875
8.45	0.3360625
8.451	0.2245
8.452	0.28825
8.453	0.3641875
8.454	0.3320625
8.455	0.3081875
8.456	0.1925625
8.457	0.0949375
8.458	0.1966875
8.459	0.357625
8.46	0.5039375
8.461	0.596875
8.462	0.2745
8.463	-0.1700625
8.464	-0.154
8.465	0.3586875
8.466	1.16475
8.467	0.6921875
8.468	-0.427
8.469	0.557
8.47	1.535375
8.471	1.03325
8.472	0.3391875
8.473	-0.054125
8.474	0.2123125
8.475	-0.1668125
8.476	-0.654625
8.477	-0.163625
8.478	0.3386875
8.479	0.53775
8.48	0.3923125
8.481	0.2558125
8.482	0.1914375
8.483	0.120875
8.484	0.5575
8.485	0.7758125
8.486	0.830375
8.487	0.4126875
8.488	0.0293125
8.489	0.6205
8.49	0.5229375
8.491	0.2085625
8.492	0.1905625
8.493	0.1024375
8.494	0.3335625
8.495	0.6813125
8.496	0.7506875
8.497	0.366625
8.498	-0.232375
8.499	-0.1156875
8.5	1.392188
8.501	NaN
8.502	1.823875
8.503	1.31175
8.504	0.58525
8.505	0.3163125
8.506	0.55175
8.507	-0.2283125
8.508	-1.135688
8.509	-1.159563
8.51	-0.80775
8.511	-0.2345
8.512	-0.084375
8.513	-0.0425
8.514	-0.00325
8.515	0.009625
8.516	-0.0253125
8.517	-0.1891875
8.518	-0.10475
8.519	0.0150625
8.52	-0.041875
8.521	-0.1185
8.522	-0.24125
8.523	-0.262125
8.524	0.67375
8.525	1.967875
8.526	1.547688
8.527	-0.211375
8.528	-1.504125
8.529	0.058875
8.53	NaN
8.531	1.518375
8.532	0.659
8.533	0.155375
8.534	-0.449125
8.535	0.0605625
8.536	-0.1111875
8.537	-0.7023125
8.538	-0.4798125
8.539	-0.4066875
8.54	-0.2960625
8.541	0.0474375
8.542	0.562875
8.543	0.26225
8.544	-0.7540625
8.545	-0.488875
8.546	0.4320625
8.547	0.719125
8.548	0.356125
8.549	-0.1304375
8.55	0.1071875
8.551	1.089125
8.552	2.038875
8.553	1.308938
8.554	-0.5240625
8.555	-0.901
8.556	0.4096875
8.557	0.84275
8.558	-0.034375
8.559	-0.2654375
8.56	-0.065
8.561	-0.6188125
8.562	-0.8856875
8.563	-0.04425
8.564	0.0475
8.565	-0.584625
8.566	-0.5839375
8.567	0.05625
8.568	0.0979375
8.569	0.00225
8.57	1.096563
8.571	1.571625
8.572	0.0454375
8.573	-0.9461875
8.574	-0.09625
8.575	0.908875
8.576	1.903813
8.577	1.786063
8.578	0.352125
8.579	-0.7081875
8.58	-1.011313
8.581	-0.8165625
8.582	-0.6645
8.583	-0.6868125
8.584	-0.5749375
8.585	0.3531875
8.586	1.129125
8.587	0.553375
8.588	-0.3675625
8.589	0.0304375
8.59	0.267625
