Interval=	0.001 s
ExcelDateTime=	4.5714683962440948e+004	2/26/2025 16:24:54.354898
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
7.36	-1.167375
7.361	0.0578125
7.362	1.45025
7.363	1.96775
7.364	0.929875
7.365	0.534625
7.366	0.0023125
7.367	-0.6805625
7.368	-0.416375
7.369	-0.0968125
7.37	0.2845
7.371	0.803375
7.372	1.540625
7.373	1.355563
7.374	-0.4386875
7.375	-1.368813
7.376	-0.1976875
7.377	0.840875
7.378	0.7041875
7.379	0.251125
7.38	-0.458875
7.381	-0.867125
7.382	-0.462875
7.383	-0.0518125
7.384	0.6089375
7.385	1.516813
7.386	1.639875
7.387	0.3735
7.388	-0.8515625
7.389	-0.3105625
7.39	0.5316875
7.391	0.6105625
7.392	0.1995625
7.393	-0.4636875
7.394	-0.2289375
7.395	0.0916875
7.396	0.152375
7.397	0.001
7.398	-0.7284375
7.399	-0.373
7.4	0.5440625
7.401	0.11775
7.402	-0.30025
7.403	0.8521875
7.404	1.894
7.405	1.00475
7.406	0.235625
7.407	-0.14
7.408	-0.5123125
7.409	0.2123125
7.41	0.3429375
7.411	-0.0916875
7.412	-0.521125
7.413	-0.5311875
7.414	0.3566875
7.415	-0.0099375
7.416	-0.473875
7.417	-0.170625
7.418	-0.02275
7.419	0.2058125
7.42	-0.2588125
7.421	-0.321625
7.422	0.6753125
7.423	1.375438
7.424	0.8538125
7.425	-0.147125
7.426	0.3103125
7.427	1.08075
7.428	0.85825
7.429	-0.1425625
7.43	-0.5756875
7.431	0.092375
7.432	0.61775
7.433	0.8216875
7.434	0.8106875
7.435	0.4005
7.436	-0.238375
7.437	-0.151
7.438	-0.1125625
7.439	0.013375
7.44	-0.134375
7.441	-0.556125
7.442	-0.3795
7.443	0.0775
7.444	0.9035
7.445	1.394313
7.446	1.062375
7.447	-0.7305625
7.448	-0.91825
7.449	0.636375
7.45	0.382875
7.451	-0.193625
7.452	-0.468875
7.453	-0.6308125
7.454	-0.6525
7.455	-0.737125
7.456	-0.5828125
7.457	-0.47925
7.458	-0.424875
7.459	0.489375
7.46	1.251375
7.461	1.60375
7.462	1.481438
7.463	1.4025
7.464	1.740312
7.465	0.5485
7.466	-0.21975
7.467	0.1760625
7.468	-0.1804375
7.469	-0.4386875
7.47	-0.5446875
7.471	-0.7951875
7.472	-0.793125
7.473	-0.876875
7.474	-0.9248125
7.475	-0.2631875
7.476	0.59725
7.477	0.4883125
7.478	-0.481625
7.479	-0.4425625
7.48	1.23525
7.481	NaN
7.482	1.482625
7.483	0.0620625
7.484	-0.36575
7.485	-0.0896875
7.486	-0.0930625
7.487	-0.0618125
7.488	0.3685
7.489	0.4033125
7.49	-0.18375
7.491	-0.7125625
7.492	-0.766875
7.493	-0.2468125
7.494	-0.064
7.495	-0.3553125
7.496	-0.665625
7.497	0.1178125
7.498	1.671625
7.499	1.145313
7.5	-0.881125
7.501	0.1213125
7.502	NaN
7.503	1.26275
7.504	0.0679375
7.505	-0.340625
7.506	-0.810125
7.507	-0.027
7.508	0.2445
7.509	-1.005125
7.51	-1.18525
7.511	-0.4396875
7.512	0.047125
7.513	0.3499375
7.514	0.360375
7.515	0.521375
7.516	0.443875
7.517	-0.7235
7.518	-0.8413125
7.519	0.3373125
7.52	0.6995
7.521	0.7335
7.522	0.881875
7.523	0.375875
7.524	0.3245
7.525	0.2095625
7.526	-0.1648125
7.527	-0.10725
7.528	-0.220125
7.529	-0.0333125
7.53	0.1264375
7.531	-0.0895
7.532	-0.502125
7.533	-0.6765
7.534	-0.242125
7.535	-0.03425
7.536	-0.4655625
7.537	-0.77875
7.538	0.2556875
7.539	1.16275
7.54	0.8416875
7.541	1.23625
7.542	0.8663125
7.543	-0.083625
7.544	0.378125
7.545	0.347125
7.546	-0.5171875
7.547	-0.9441875
7.548	-0.8896875
7.549	-0.365125
7.55	0.1665
7.551	0.62075
7.552	0.5578125
7.553	-0.073625
7.554	0.04475
7.555	-0.036375
7.556	-0.1296875
7.557	-0.5598125
7.558	-0.9585
7.559	0.5733125
7.56	2.00825
7.561	1.363
7.562	-1.354563
7.563	-0.9494375
7.564	1.588125
7.565	1.740813
7.566	0.725625
7.567	-0.549
7.568	-0.594125
7.569	-0.3258125
7.57	-0.016625
7.571	0.2865
7.572	-0.290625
7.573	-0.58175
7.574	-0.3951875
7.575	-0.0601875
7.576	0.1365
7.577	-0.254
7.578	-1.059938
7.579	-0.59225
7.58	1.017375
7.581	1.685438
7.582	0.209375
7.583	-0.6604375
7.584	0.5466875
7.585	0.657
7.586	0.1015
7.587	-0.2829375
7.588	-0.839875
7.589	-0.1845
7.59	0.5149375
7.591	-0.11875
7.592	-0.106
7.593	0.4191875
7.594	-0.0925625
7.595	-0.3565625
7.596	-0.199
7.597	-0.50475
7.598	-0.0268125
7.599	1.057875
7.6	1.176313
7.601	0.001
7.602	-0.54975
7.603	-0.2858125
7.604	-0.5481875
7.605	-0.763
7.606	-0.6985625
7.607	0.0578125
7.608	0.4365625
7.609	0.605625
7.61	1.669563
7.611	1.179188
7.612	0.1439375
7.613	-0.088875
7.614	-0.2845
7.615	0.0555
7.616	-0.043
7.617	-0.3270625
7.618	-0.21475
7.619	0.1731875
7.62	0.1954375
7.621	-0.6095625
7.622	-1.1465
7.623	-0.446375
7.624	0.7846875
7.625	0.7964375
7.626	0.1960625
7.627	-0.143875
7.628	-0.316125
7.629	-0.2060625
7.63	0.42975
7.631	1.066563
7.632	-0.0595625
7.633	-0.5458125
7.634	0.4868125
7.635	0.341875
7.636	-0.3218125
7.637	-0.601625
7.638	-0.6043125
7.639	-0.4524375
7.64	-0.1550625
7.641	0.3876875
7.642	0.619875
7.643	0.440625
7.644	0.0659375
7.645	0.7733125
7.646	1.025375
7.647	-0.0650625
7.648	0.114
7.649	0.2854375
7.65	-0.320375
7.651	-0.7095
7.652	-0.977875
7.653	-0.2195
7.654	0.0109375
7.655	-1.209
7.656	-0.8398125
7.657	0.9194375
7.658	1.642813
7.659	0.49825
7.66	-0.54725
7.661	0.401
7.662	1.398937
7.663	0.725875
7.664	-0.504375
7.665	-0.99475
7.666	0.1835
7.667	0.977125
7.668	-0.4195
7.669	-0.79675
7.67	-0.4159375
7.671	-0.4660625
7.672	-0.2733125
7.673	-0.40875
7.674	-0.5521875
7.675	-0.3589375
7.676	0.0661875
7.677	0.149
7.678	-0.3440625
7.679	-0.2003125
7.68	0.517375
7.681	0.4489375
7.682	0.2475625
7.683	1.19125
7.684	1.7305
7.685	0.6151875
7.686	-0.2636875
7.687	0.150625
7.688	1.224188
7.689	0.2951875
7.69	-1.35925
7.691	-0.52275
7.692	0.73925
7.693	0.490125
7.694	-0.4715
7.695	0.06
7.696	0.002
7.697	-0.87175
7.698	-0.744875
7.699	-0.287375
7.7	-0.0320625
7.701	-0.4200625
7.702	-0.8261875
7.703	-0.785125
7.704	-0.1600625
7.705	0.9025
7.706	0.4613125
7.707	-0.1193125
7.708	0.9896875
7.709	1.18175
7.71	-0.207
7.711	-1.175875
7.712	-0.03425
7.713	0.337125
7.714	-0.428875
7.715	-0.2874375
7.716	-0.423875
7.717	-0.9624375
7.718	-0.9493125
7.719	-0.691
7.72	0.2161875
7.721	1.058938
7.722	0.8316875
7.723	0.2085
7.724	-0.2500625
7.725	0.1480625
7.726	0.3899375
7.727	-0.2605625
7.728	-0.342
7.729	-0.0321875
7.73	0.0115
7.731	1.028813
7.732	1.928187
7.733	1.301563
7.734	-0.4460625
7.735	-0.990125
7.736	0.099125
7.737	0.2765625
7.738	-0.2323125
7.739	-0.730125
7.74	-0.3036875
7.741	0.218375
7.742	-0.6448125
7.743	-0.984125
7.744	-0.214
7.745	0.2596875
7.746	-0.085625
7.747	-0.268
7.748	-0.185625
7.749	-0.038875
7.75	0.4044375
7.751	0.34975
7.752	0.5711875
7.753	1.197938
7.754	0.86375
7.755	-0.2600625
7.756	-0.4993125
7.757	0.16075
7.758	-0.292875
7.759	-0.27525
7.76	0.21975
7.761	0.002875
7.762	-0.1895625
7.763	-1.079063
7.764	-0.63875
7.765	0.7675625
7.766	0.994125
7.767	0.8198125
7.768	0.3240625
7.769	0.498875
7.77	0.7773125
7.771	0.27625
7.772	-0.5333125
7.773	-1.162813
7.774	-0.5536875
7.775	-0.2901875
7.776	-0.5924375
7.777	-0.448125
7.778	-0.0378125
7.779	-0.11825
7.78	-0.9616875
7.781	-0.6231875
7.782	0.03625
7.783	-0.1945625
7.784	-0.2331875
7.785	0.0323125
7.786	0.561125
7.787	0.5094375
7.788	-0.06025
7.789	0.0614375
7.79	0.2263125
7.791	-0.300875
7.792	-0.545375
7.793	-0.2545625
7.794	0.193125
7.795	0.7649375
7.796	0.5701875
7.797	-0.7481875
7.798	-1.09725
7.799	0.194
7.8	1.31875
7.801	1.543187
7.802	0.6459375
7.803	-0.5631875
7.804	-1.22475
7.805	-0.8239375
7.806	0.4625
7.807	0.9313125
7.808	0.41375
7.809	-0.4576875
7.81	-0.442625
7.811	0.2173125
7.812	0.24125
7.813	-0.0564375
7.814	-0.3930625
7.815	-0.49975
7.816	-0.4866875
7.817	-0.1866875
7.818	-0.021625
7.819	-0.5924375
7.82	-0.6425625
7.821	0.3149375
7.822	1.259375
7.823	1.895438
7.824	0.8638125
7.825	-0.2994375
7.826	-0.1755
7.827	0.0868125
7.828	0.082875
7.829	-0.67825
7.83	-1.099625
7.831	-0.922125
7.832	-0.5370625
7.833	0.1365625
7.834	0.642
7.835	0.0950625
7.836	-0.6845
7.837	-0.3783125
7.838	-0.0394375
7.839	-0.0184375
7.84	0.2036875
7.841	0.17375
7.842	-0.0304375
7.843	-0.388625
7.844	-0.5780625
7.845	0.28425
7.846	NaN
7.847	1.33025
7.848	-1.622875
7.849	-0.292125
7.85	NaN
7.851	1.2315
7.852	-0.591125
7.853	-1.539625
7.854	-1.552438
7.855	-1.099563
7.856	-0.766875
7.857	-0.68925
7.858	-0.5519375
7.859	-0.5400625
7.86	-0.32425
7.861	0.088375
7.862	0.3553125
7.863	-0.4279375
7.864	-1.455688
7.865	-0.8169375
7.866	0.2208125
7.867	0.1525625
7.868	-0.585
7.869	-0.3455625
7.87	0.7266875
7.871	0.5800625
7.872	0.5933125
7.873	1.876438
7.874	1.860813
7.875	0.1345625
7.876	-0.41025
7.877	0.1743125
7.878	-0.432375
7.879	-1.126563
7.88	-1.461
7.881	-1.534
7.882	-0.773875
7.883	0.1301875
7.884	-0.0029375
7.885	-0.7245625
7.886	-0.358625
7.887	0.71575
7.888	0.04075
7.889	-0.687
7.89	0.2705625
7.891	0.7690625
7.892	0.365
7.893	-0.34825
7.894	-0.9514375
7.895	-1.23275
7.896	-1.239813
7.897	-0.7658125
7.898	0.1650625
7.899	0.58125
7.9	1.0655
7.901	0.757875
7.902	-0.0991875
7.903	0.286
7.904	0.1144375
7.905	-0.436
7.906	-0.7690625
7.907	-0.6875625
7.908	-0.219375
7.909	0.14825
7.91	0.1961875
7.911	-0.693
7.912	-0.6504375
7.913	0.694375
7.914	0.608125
7.915	0.2845
7.916	0.8188125
7.917	0.419625
7.918	-0.251375
7.919	-0.5389375
7.92	-0.655
7.921	-0.675125
7.922	-0.951
7.923	-0.2041875
7.924	1.47675
7.925	1.221688
7.926	-0.1346875
7.927	0.415625
7.928	1.062688
7.929	-0.131
7.93	-1.10325
7.931	-0.6979375
7.932	-0.2603125
7.933	-0.512375
7.934	-0.9991875
7.935	-0.9466875
7.936	0.1973125
7.937	1.751125
7.938	1.749313
7.939	0.5960625
7.94	0.504375
7.941	0.4396875
7.942	-0.862
7.943	-2.044563
7.944	-1.386313
7.945	-0.4258125
7.946	-0.595875
7.947	-0.3983125
7.948	0.82575
7.949	1.031625
7.95	-0.3865625
7.951	-0.4666875
7.952	1.342125
7.953	1.288625
7.954	-0.8545
7.955	-1.386
7.956	-0.6203125
7.957	-0.4980625
7.958	-0.9030625
7.959	-1.1635
7.96	-0.3879375
7.961	0.888125
7.962	0.26125
7.963	-1.1005
7.964	-0.74825
7.965	0.076125
7.966	0.38175
7.967	0.009875
7.968	-1.184938
7.969	-1.075313
7.97	0.2214375
7.971	0.3195
7.972	-0.251625
7.973	-0.5925
7.974	-0.5614375
7.975	-0.171375
7.976	-0.2984375
7.977	-0.5321875
7.978	-0.5070625
7.979	-0.5049375
7.98	-0.4610625
7.981	-0.27775
7.982	-0.0719375
7.983	0.0470625
7.984	0.053625
7.985	-0.0191875
7.986	-0.0825
7.987	-0.20375
7.988	-0.261375
7.989	-0.238375
7.99	-0.1783125
7.991	-0.243375
7.992	-0.1953125
7.993	-6.25e-005
7.994	-0.0530625
7.995	-0.0121875
7.996	-0.01375
7.997	0.2123125
7.998	1.526625
7.999	NaN
8	1.189688
8.001	0.10675
8.002	-0.8970625
8.003	-1.006312
8.004	-0.26925
8.005	-0.0111875
8.006	-0.5995
8.007	-1.507875
8.008	-1.35075
8.009	-0.3496875
8.01	0.4310625
8.011	0.8438125
8.012	0.418625
8.013	-0.0699375
8.014	-0.7400625
8.015	-1.223313
8.016	-0.4445625
8.017	-0.778375
8.018	-1.375063
8.019	-0.748375
8.02	-0.8921875
8.021	-1.177188
8.022	-0.778125
8.023	-0.579875
8.024	-0.64
8.025	-1.017063
8.026	-1.268563
8.027	0.0846875
8.028	1.642125
8.029	1.4525
8.03	0.5156875
8.031	0.37075
8.032	0.660625
8.033	0.326
8.034	-0.5193125
8.035	-1.2065
8.036	-1.2885
8.037	-1.623
8.038	-1.314875
8.039	-0.4689375
8.04	-0.32875
8.041	-1.200813
8.042	NaN
8.043	-0.603
8.044	0.7326875
8.045	0.217625
8.046	-0.5231875
8.047	-0.9321875
8.048	-0.804
8.049	-0.651125
8.05	-0.3795
8.051	0.0644375
8.052	0.041375
8.053	-0.1738125
8.054	-0.240625
8.055	-0.289125
8.056	-0.07325
8.057	-0.1020625
8.058	-0.432
8.059	0.1075625
8.06	1.458125
8.061	NaN
8.062	0.466875
8.063	-0.740875
8.064	0.0658125
8.065	-0.38075
8.066	-0.96775
8.067	-0.9528125
8.068	-0.8800625
8.069	-0.788875
8.07	-0.9225625
8.071	-0.748875
8.072	-0.703875
8.073	-0.874125
8.074	-0.711625
8.075	-0.766375
8.076	-0.7945625
8.077	0.037625
8.078	0.422875
8.079	0.333375
8.08	0.737375
8.081	0.47575
8.082	0.48075
8.083	0.8980625
8.084	-0.101875
8.085	-0.6675
8.086	0.1685
8.087	-0.6303125
8.088	-1.530375
8.089	-0.2096875
8.09	0.12525
8.091	-0.669625
8.092	-0.787625
8.093	-0.482
8.094	-0.344875
8.095	-0.505625
8.096	-0.496125
8.097	-0.38525
8.098	0.1133125
8.099	0.7778125
8.1	0.1825
8.101	-0.677625
8.102	-0.3679375
8.103	0.5498125
8.104	0.6259375
8.105	-0.0611875
8.106	-1.102875
8.107	-1.754375
8.108	-1.19725
8.109	-0.219875
8.11	0.2679375
8.111	-0.60325
8.112	-1.19925
8.113	-0.500125
8.114	0.010125
8.115	-0.280875
8.116	-0.480625
8.117	-0.350375
8.118	-0.2534375
8.119	-0.5976875
8.12	-0.7804375
8.121	0.6924375
8.122	1.378375
8.123	0.5709375
8.124	0.0868125
8.125	0.019375
8.126	0.691375
8.127	0.651125
8.128	-0.6205625
8.129	-1.44675
8.13	-1.388625
8.131	-0.97475
8.132	-0.895625
8.133	-0.9110625
8.134	-0.672125
8.135	-0.655625
8.136	-0.57025
8.137	-0.3070625
8.138	-0.31825
8.139	-0.407125
8.14	-0.0568125
8.141	0.543625
8.142	0.4461875
8.143	0.2076875
8.144	-0.6461875
8.145	-0.599125
8.146	1.120313
8.147	0.79725
8.148	-0.3445
8.149	-0.422
8.15	-0.4176875
8.151	-0.325375
8.152	-0.648
8.153	-0.9506875
8.154	-0.59925
8.155	-0.459
8.156	-0.7023125
8.157	-0.4415625
8.158	0.3545
8.159	0.5413125
8.16	-0.2696875
8.161	-0.8730625
8.162	-0.48025
8.163	0.1481875
8.164	-0.136625
8.165	-0.253875
8.166	0.2906875
8.167	0.352375
8.168	0.427875
8.169	-0.0718125
8.17	-0.606875
8.171	0.1499375
8.172	0.75575
8.173	0.64575
8.174	0.2925
8.175	-0.80475
8.176	-1.254875
8.177	-0.777125
8.178	-0.7724375
8.179	-0.402875
8.18	-0.025
8.181	-0.9445625
8.182	-1.343687
8.183	-0.4508125
8.184	-0.383375
8.185	-0.411
8.186	0.1186875
8.187	0.114375
8.188	-0.1568125
8.189	-0.3154375
8.19	-0.4230625
8.191	-0.2184375
8.192	-0.26325
8.193	-0.6188125
8.194	-0.695875
8.195	-0.285875
8.196	0.6915625
8.197	0.2275625
8.198	-0.185
8.199	0.611
8.2	0.3281875
8.201	0.2984375
8.202	0.8448125
8.203	0.2245
8.204	-0.625625
8.205	-0.890625
8.206	-0.8201875
8.207	-0.5115625
8.208	-0.4443125
8.209	-0.205625
8.21	-0.333875
8.211	-0.5893125
8.212	0.20675
8.213	0.883
8.214	0.9720625
8.215	-0.2798125
8.216	-0.848625
8.217	0.2698125
8.218	0.606375
8.219	0.0135625
8.22	-1.281562
8.221	-1.400187
8.222	-0.2123125
8.223	-0.3145
8.224	-1.0765
8.225	-1.094313
8.226	-0.067625
8.227	0.861625
8.228	0.0185625
8.229	-0.4549375
8.23	-0.024625
8.231	0.06375
8.232	-0.15275
8.233	-0.51175
8.234	-0.8035
8.235	-0.729
8.236	-0.274875
8.237	0.115
8.238	0.362875
8.239	-0.0825625
8.24	0.134
8.241	0.8814375
8.242	1.467375
8.243	2.020125
8.244	-0.3663125
8.245	-1.804938
8.246	-0.454875
8.247	0.1533125
8.248	-0.401
8.249	-1.128188
8.25	-1.396937
8.251	-1.33175
8.252	-0.4908125
8.253	1.332875
8.254	2.032625
8.255	-0.390125
8.256	-1.58375
8.257	0.0735625
8.258	1.08825
