Interval=	0.001 s
ExcelDateTime=	4.5714688204883329e+004	2/26/2025 16:31:00.901919
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
20.64	0.171875
20.641	-0.1655
20.642	-0.0625625
20.643	0.1583125
20.644	0.031
20.645	0.053625
20.646	0.3830625
20.647	0.3856875
20.648	0.33975
20.649	0.4635625
20.65	0.1103125
20.651	-0.0585625
20.652	0.3303125
20.653	0.5274375
20.654	0.6285
20.655	0.9764375
20.656	1.1505
20.657	0.7125
20.658	-0.23925
20.659	-0.4410625
20.66	0.4043125
20.661	0.687
20.662	0.42225
20.663	0.3790625
20.664	0.34975
20.665	0.0793125
20.666	-0.1188125
20.667	-0.00425
20.668	0.1199375
20.669	0.2570625
20.67	0.151375
20.671	-0.397
20.672	-0.3880625
20.673	0.4059375
20.674	1.311438
20.675	0.8771875
20.676	0.3273125
20.677	1.100875
20.678	0.920125
20.679	0.2175
20.68	-0.204875
20.681	-0.5611875
20.682	-0.273
20.683	0.6225625
20.684	1.475062
20.685	1.660187
20.686	0.6828125
20.687	-0.0188125
20.688	0.4885625
20.689	0.6285
20.69	0.2808125
20.691	0.0843125
20.692	-0.1744375
20.693	-0.3033125
20.694	-0.43375
20.695	-0.470875
20.696	0.043875
20.697	0.8134375
20.698	1.07625
20.699	-0.2319375
20.7	-0.6109375
20.701	0.665625
20.702	1.028063
20.703	0.9388125
20.704	0.557375
20.705	-0.024875
20.706	-0.147125
20.707	-0.1338125
20.708	-0.0295625
20.709	0.1865
20.71	0.2679375
20.711	0.0964375
20.712	-0.2080625
20.713	0.06375
20.714	0.3170625
20.715	0.02425
20.716	0.0785
20.717	0.322375
20.718	0.10075
20.719	0.116875
20.72	0.97425
20.721	1.517375
20.722	1.344062
20.723	1.1545
20.724	1.072625
20.725	1.263063
20.726	0.2660625
20.727	-0.9154375
20.728	0.1183125
20.729	0.8310625
20.73	1.045938
20.731	0.8963125
20.732	0.5046875
20.733	1.515188
20.734	1.723688
20.735	0.089
20.736	-0.1010625
20.737	1.709437
20.738	1.42775
20.739	0.670875
20.74	0.7911875
20.741	-0.5068125
20.742	-1.596125
20.743	-0.7344375
20.744	1.322125
20.745	1.727438
20.746	-0.0544375
20.747	0.36925
20.748	1.992188
20.749	2.035875
20.75	1.46625
20.751	0.5498125
20.752	-1.16275
20.753	NaN
20.754	-1.453938
20.755	-0.7195
20.756	-0.4943125
20.757	-0.5590625
20.758	-0.402375
20.759	-0.234375
20.76	-0.309
20.761	-0.285875
20.762	-0.0913125
20.763	-0.0201875
20.764	-0.11675
20.765	-0.13675
20.766	-0.223375
20.767	-0.0676875
20.768	0.968625
20.769	NaN
20.77	1.516
20.771	-0.54475
20.772	-0.37175
20.773	1.546875
20.774	NaN
20.775	1.091375
20.776	-0.133125
20.777	-0.6873125
20.778	-1.408625
20.779	-1.4
20.78	-1.146313
20.781	-1.049625
20.782	-0.93475
20.783	-0.9790625
20.784	-0.9454375
20.785	-0.9123125
20.786	-0.844375
20.787	-0.79625
20.788	-0.8031875
20.789	-0.759
20.79	-0.7010625
20.791	-0.6666875
20.792	-0.3499375
20.793	-0.0308125
20.794	-0.16725
20.795	-0.384
20.796	-0.196875
20.797	0.02025
20.798	-0.046625
20.799	-0.0073125
20.8	0.08625
20.801	0.11675
20.802	-0.00675
20.803	-0.17875
20.804	-0.2539375
20.805	-0.2583125
20.806	0.48475
20.807	0.41575
20.808	-0.748125
20.809	-0.6261875
20.81	0.142375
20.811	0.352125
20.812	-0.1185
20.813	-0.5761875
20.814	-0.551375
20.815	-0.469625
20.816	-0.418375
20.817	-0.2903125
20.818	-0.21425
20.819	-0.5154375
20.82	-0.4318125
20.821	0.015125
20.822	-0.40475
20.823	0.1013125
20.824	1.076188
20.825	1.413625
20.826	1.400937
20.827	0.3364375
20.828	-0.1488125
20.829	-0.2920625
20.83	-0.5243125
20.831	-0.3641875
20.832	-0.83675
20.833	-1.338938
20.834	-0.9545625
20.835	-0.552375
20.836	-0.44775
20.837	-0.383625
20.838	-0.3219375
20.839	-0.3156875
20.84	-0.329375
20.841	-0.2808125
20.842	-0.2259375
20.843	-0.259375
20.844	-0.33575
20.845	-0.3543125
20.846	-0.297625
20.847	-0.256125
20.848	-0.338125
20.849	-0.5259375
20.85	-0.5788125
20.851	-0.345875
20.852	-0.2586875
20.853	-0.6705
20.854	-0.6015
20.855	-0.076625
20.856	0.2285
20.857	0.2528125
20.858	-0.3255
20.859	-0.1796875
20.86	0.1619375
20.861	0.2289375
20.862	0.473125
20.863	-0.47125
20.864	-0.335375
20.865	0.5455625
20.866	0.05675
20.867	-0.461625
20.868	-0.5488125
20.869	0.515125
20.87	2.011563
20.871	1.345438
20.872	-0.5940625
20.873	-0.3749375
20.874	1.588625
20.875	1.734
20.876	0.366125
20.877	-0.69375
20.878	-1.542625
20.879	-1.47825
20.88	-0.8460625
20.881	-0.6201875
20.882	-0.560625
20.883	-0.687875
20.884	-0.7581875
20.885	-0.6385625
20.886	-0.400625
20.887	0.5633125
20.888	1.816938
20.889	0.339
20.89	-1.471875
20.891	0.4038125
20.892	NaN
20.893	1.714938
20.894	-0.8909375
20.895	NaN
20.896	-0.7861875
20.897	-0.717
20.898	-0.9675
20.899	-0.6764375
20.9	-0.7233125
20.901	-0.7795
20.902	-0.8915
20.903	-1.048125
20.904	-0.8959375
20.905	-0.680625
20.906	-0.5491875
20.907	-0.4885625
20.908	-0.4460625
20.909	-0.2904375
20.91	-0.31625
20.911	-0.7175
20.912	-0.8421875
20.913	-0.7078125
20.914	-0.4759375
20.915	-0.3046875
20.916	-0.690375
20.917	-1.091625
20.918	-0.5203125
20.919	0.3760625
20.92	1.747438
20.921	1.791063
20.922	-1.0175
20.923	-1.897375
20.924	0.3598125
20.925	NaN
20.926	1.015562
20.927	-0.8125
20.928	-1.316875
20.929	-1.361813
20.93	-1.217938
20.931	-1.161188
20.932	-1.06075
20.933	-0.9103125
20.934	-0.687125
20.935	-0.3425
20.936	-0.5324375
20.937	-0.750875
20.938	-0.695125
20.939	-0.927125
20.94	-0.97875
20.941	-0.765625
20.942	-0.4021875
20.943	-0.1143125
20.944	0.179
20.945	0.243625
20.946	0.21725
20.947	0.141625
20.948	-0.174625
20.949	0.1224375
20.95	0.3053125
20.951	0.301625
20.952	-0.345375
20.953	-0.1878125
20.954	0.751375
20.955	0.4681875
20.956	-0.5470625
20.957	-1.04575
20.958	-0.5628125
20.959	-0.45375
20.96	-0.70925
20.961	-0.55475
20.962	-0.571625
20.963	-0.7461875
20.964	-0.0724375
20.965	0.8485625
20.966	0.5899375
20.967	-0.3646875
20.968	-0.3195
20.969	1.460438
20.97	1.714313
20.971	-0.430125
20.972	-1.421625
20.973	-1.325188
20.974	-0.20425
20.975	0.3185625
20.976	-0.312125
20.977	-0.524875
20.978	-0.203125
20.979	-0.6485
20.98	-1.569563
20.981	-0.6751875
20.982	-0.392375
20.983	-1.672563
20.984	-1.580188
20.985	-0.3305625
20.986	0.1378125
20.987	-0.145375
20.988	-0.264
20.989	-0.1848125
20.99	-0.6355
20.991	-0.353625
20.992	0.291125
20.993	0.14525
20.994	-0.0591875
20.995	-0.2808125
20.996	-0.3325625
20.997	-0.3503125
20.998	-0.5375
20.999	-0.4910625
21	-0.0770625
21.001	0.761125
21.002	1.494563
21.003	0.976625
21.004	-0.312375
21.005	-1.006625
21.006	-0.0645
21.007	0.587125
21.008	-0.2643125
21.009	-0.9344375
21.01	-1.038375
21.011	-0.94825
21.012	-0.8248125
21.013	-0.8086875
21.014	-0.5983125
21.015	-0.192625
21.016	-0.0959375
21.017	0.574
21.018	0.93225
21.019	0.1500625
21.02	0.32975
21.021	1.481062
21.022	1.17075
21.023	0.7489375
21.024	0.6009375
21.025	-0.5916875
21.026	-1.087438
21.027	-0.336875
21.028	1.143063
21.029	1.729375
21.03	0.2675
21.031	-1.785
21.032	-0.3766875
21.033	0.254625
21.034	-1.206188
21.035	-0.5486875
21.036	-0.7506875
21.037	-1.446625
21.038	-0.8085
21.039	1.460688
21.04	1.627875
21.041	-1.715437
21.042	-1.219563
21.043	1.75775
21.044	NaN
21.045	0.4911875
21.046	-1.575
21.047	-1.85375
21.048	-1.70425
21.049	-1.651438
21.05	-0.7954375
21.051	0.4410625
21.052	0.6993125
21.053	-0.7436875
21.054	-1.131688
21.055	0.54
21.056	0.6720625
21.057	0.14025
21.058	1.16525
21.059	1.207688
21.06	-0.4773125
21.061	-1.82175
