Interval=	0.001 s
ExcelDateTime=	4.5714705164947300e+004	2/26/2025 16:55:26.251447
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
4.97	-0.2705625
4.971	-0.9665
4.972	-0.57175
4.973	0.1328125
4.974	-0.2078125
4.975	0.2441875
4.976	0.762375
4.977	0.394875
4.978	0.259625
4.979	0.0843125
4.98	-0.2688125
4.981	-0.1036875
4.982	0.063625
4.983	0.1436875
4.984	0.20575
4.985	0.1998125
4.986	0.284125
4.987	0.1775
4.988	0.0104375
4.989	-0.0795
4.99	0.204
4.991	0.1123125
4.992	-0.6920625
4.993	-1.229062
4.994	-0.8644375
4.995	-0.1950625
4.996	0.675875
4.997	0.6895
4.998	-0.053875
4.999	0.75425
5	1.416313
5.001	1.362625
5.002	0.98825
5.003	0.4890625
5.004	0.48675
5.005	0.3721875
5.006	0.094875
5.007	0.00375
5.008	-0.1835625
5.009	-0.6925
5.01	-1.185437
5.011	-1.6055
5.012	-1.580375
5.013	-0.883
5.014	-0.2169375
5.015	0.4719375
5.016	1.229438
5.017	1.559438
5.018	1.241125
5.019	0.630375
5.02	0.19725
5.021	-0.05725
5.022	-0.1515
5.023	-0.164625
5.024	-0.2509375
5.025	-0.2978125
5.026	-0.283125
5.027	-0.1745625
5.028	0.37175
5.029	1.104125
5.03	0.66575
5.031	0.234375
5.032	0.617
5.033	0.755125
5.034	0.4710625
5.035	-0.0078125
5.036	0.354875
5.037	0.7564375
5.038	0.467625
5.039	-0.2639375
5.04	-0.4144375
5.041	-0.1075
5.042	-0.1778125
5.043	-0.199125
5.044	-0.15775
5.045	-0.0909375
5.046	-0.043
5.047	-0.0548125
5.048	-0.08575
5.049	-0.082
5.05	-0.0335
5.051	-0.0031875
5.052	0.0035
5.053	0.06025
5.054	0.0604375
5.055	-0.1856875
5.056	-0.5338125
5.057	-0.7934375
5.058	-0.582125
5.059	0.39
5.06	0.588375
5.061	0.1549375
5.062	0.654875
5.063	1.056938
5.064	1.028875
5.065	0.8806875
5.066	0.554
5.067	0.446375
5.068	0.2948125
5.069	-0.266125
5.07	-0.40425
5.071	-0.3036875
5.072	-0.3033125
5.073	0.3949375
5.074	0.4730625
5.075	-0.0615625
5.076	-0.2334375
5.077	-0.2749375
5.078	0.658875
5.079	0.9363125
5.08	0.9710625
5.081	1.595
5.082	0.9711875
5.083	0.2973125
5.084	0.3921875
5.085	0.5276875
5.086	0.398625
5.087	-0.11375
5.088	-0.374625
5.089	-0.441875
5.09	-0.4069375
5.091	-0.106875
5.092	0.0251875
5.093	0.188625
5.094	-0.0639375
5.095	-0.4191875
5.096	-0.0135
5.097	0.2025
5.098	-0.12775
5.099	-0.3564375
5.1	-0.136
5.101	0.1513125
5.102	0.096875
5.103	0.0160625
5.104	0.1435
5.105	-0.11675
5.106	-0.6933125
5.107	0.0874375
5.108	1.422063
5.109	1.668938
5.11	1.290375
5.111	0.6019375
5.112	-0.049625
5.113	-0.1226875
5.114	-0.222875
5.115	-0.370625
5.116	-0.131375
5.117	-0.012625
5.118	0.3351875
5.119	0.6906875
5.12	0.49225
5.121	0.179375
5.122	-0.0490625
5.123	-0.197
5.124	-0.3798125
5.125	-0.3554375
5.126	-0.2895
5.127	0.009625
5.128	0.7801875
5.129	0.5734375
5.13	0.0838125
5.131	0.3196875
5.132	0.59525
5.133	1.15225
5.134	1.177063
5.135	0.87025
5.136	0.865125
5.137	0.4133125
5.138	0.25525
5.139	0.290125
5.14	-0.03475
5.141	-0.1531875
5.142	-0.3471875
5.143	-0.52275
5.144	-0.2555
5.145	-0.2148125
5.146	-0.11375
5.147	0.247125
5.148	0.6156875
5.149	0.956375
5.15	0.5865625
5.151	0.103625
5.152	-0.1476875
5.153	-0.21825
5.154	-0.2066875
5.155	-0.4210625
5.156	-0.0670625
5.157	0.0551875
5.158	-0.2395625
5.159	0.0779375
5.16	0.946125
5.161	1.1915
5.162	0.4991875
5.163	0.127875
5.164	-0.0544375
5.165	-0.31675
5.166	-0.203125
5.167	-0.103375
5.168	0.059625
5.169	0.7825
5.17	1.09975
5.171	1.092313
5.172	0.679
5.173	-0.0916875
5.174	-0.06775
5.175	-0.3110625
5.176	-0.8498125
5.177	-0.5948125
5.178	-0.29025
5.179	0.106875
5.18	0.14925
5.181	0.1175
5.182	0.6569375
5.183	0.7303125
5.184	0.4188125
5.185	0.1925
5.186	0.3026875
5.187	0.552625
5.188	0.499875
5.189	0.2290625
5.19	-0.2339375
5.191	-0.2706875
5.192	0.32575
5.193	0.7729375
5.194	0.8031875
5.195	0.615875
5.196	0.5171875
5.197	0.11575
5.198	-0.578375
5.199	-0.6228125
5.2	-0.301875
5.201	0.0598125
5.202	0.455125
5.203	0.6390625
5.204	0.3780625
5.205	-0.3654375
5.206	0.8098125
5.207	1.618875
5.208	1.033688
5.209	1.077938
5.21	0.4910625
5.211	0.10875
5.212	-0.088875
5.213	-0.2756875
5.214	-0.2586875
5.215	-0.86425
5.216	-0.4873125
5.217	0.342625
5.218	0.0270625
5.219	-0.2115
5.22	-0.30325
5.221	-0.1945
5.222	-0.0889375
5.223	-0.1169375
5.224	0.0054375
5.225	0.038125
5.226	0.217625
5.227	0.5864375
5.228	0.604
5.229	0.4086875
5.23	0.3603125
5.231	0.5116875
5.232	0.9245
5.233	1.196
5.234	0.8535
5.235	0.587
5.236	0.4951875
5.237	0.3829375
5.238	0.3908125
5.239	-0.35825
5.24	-1.002375	#1 MFDLS 
5.241	-1.332813
5.242	-1.2235
5.243	-0.2884375
5.244	0.513
5.245	1.743813
5.246	1.729375
5.247	0.43
5.248	1.137312
5.249	1.739188
5.25	1.227313
5.251	0.4581875
5.252	-0.1221875
5.253	-0.341375
5.254	-0.771
5.255	-0.7680625
5.256	-0.3520625
5.257	-0.2033125
5.258	-0.1914375
5.259	-0.0145625
5.26	-0.0950625
5.261	0.1774375
5.262	0.186375
5.263	-0.0371875
5.264	0.18075
5.265	0.4348125
5.266	0.7195
5.267	0.505125
5.268	-0.477625
5.269	-0.621375
5.27	0.549625
5.271	0.6970625
5.272	0.2349375
5.273	0.248
5.274	0.6898125
5.275	1.074375
5.276	0.7303125
5.277	-0.278625
5.278	-0.6901875
5.279	0.19025
5.28	0.3333125
5.281	0.451875
5.282	0.409875
5.283	-0.1124375
5.284	0.491
5.285	1.044688
5.286	0.9231875
5.287	0.3359375
5.288	0.3495
5.289	0.18825
5.29	-0.548
5.291	-0.1411875
5.292	0.0609375
5.293	-0.263125
5.294	-0.3474375
5.295	-0.375125
5.296	0.164875
5.297	0.7443125
5.298	0.485625
5.299	0.3369375
5.3	0.538125
5.301	0.20425
5.302	-0.1154375
5.303	-0.34225
5.304	-0.9455625
5.305	0.0240625
5.306	1.22075
5.307	0.8734375
5.308	1.010375
5.309	0.25675
5.31	-0.1443125
5.311	0.434875
5.312	0.2100625
5.313	-0.1933125
5.314	-0.755375
5.315	-0.292375
5.316	0.331375
5.317	0.17625
5.318	0.1778125
5.319	0.269875
5.32	0.569375
5.321	0.54675
5.322	-0.3459375
5.323	-0.7190625
5.324	-0.1494375
5.325	0.1156875
5.326	-0.09125
5.327	-0.1655
5.328	0.46825
5.329	0.9018125
5.33	1.072313
5.331	1.210625
5.332	0.540625
5.333	-0.4055625
5.334	-0.5596875
5.335	-0.0455
5.336	0.9405
5.337	1.533875
5.338	0.101125
5.339	-0.2794375
5.34	0.602625
5.341	0.799625
5.342	0.1829375
5.343	-0.1121875
5.344	-0.3944375
5.345	-0.7516875
5.346	-0.3801875
5.347	-0.6134375
5.348	0.1536875
5.349	1.288938
5.35	0.62725
5.351	0.0978125
5.352	0.536625
5.353	0.776875
5.354	0.095375
5.355	-0.5945
5.356	-0.362375
5.357	0.152125
5.358	0.1798125
5.359	0.020625
5.36	0.015375
5.361	-0.371875
5.362	-0.2436875
5.363	0.0848125
5.364	0.2265625
5.365	-0.183625
5.366	-0.76925
5.367	-0.1528125
5.368	0.729375
5.369	0.221
5.37	-0.0481875
5.371	0.78625
5.372	0.9684375
5.373	0.8398125
5.374	1.212313
5.375	0.4311875
5.376	-0.3216875
5.377	0.6994375
5.378	0.5863125
5.379	-0.0671875
5.38	-0.3656875
5.381	-0.5889375
5.382	-0.2975625
5.383	-0.032
5.384	-0.06425
5.385	-0.1865
5.386	-0.1698125
5.387	-0.19775
5.388	-0.3299375
5.389	-0.3034375
5.39	-0.0215625
5.391	0.1219375
5.392	0.155875
5.393	0.166875
5.394	-0.5179375
5.395	-0.65475
5.396	0.2485625
5.397	1.671438
5.398	1.022313
5.399	-0.69525
5.4	0.2494375
5.401	0.40425
5.402	-0.50525
5.403	0.279125
5.404	0.7451875
5.405	0.02775
5.406	-0.1158125
5.407	0.4913125
5.408	0.5323125
5.409	-0.063625
5.41	-0.40875
5.411	-0.31275
5.412	-0.3169375
5.413	-0.2985625
5.414	0.6211875
5.415	1.178563
5.416	0.97775
5.417	0.8671875
5.418	0.0300625
5.419	-0.6074375
5.42	-0.2085
5.421	0.190625
5.422	0.1310625
5.423	-0.0035
5.424	-0.2020625
5.425	-0.3274375
5.426	-0.226375
5.427	-0.209375
5.428	-0.17525
5.429	-0.1416875
5.43	-0.1434375
5.431	-0.032875
5.432	-0.0175
5.433	0.0054375
5.434	-0.1603125
5.435	-0.5020625
5.436	-0.0285625
5.437	0.4714375
5.438	0.712875
5.439	0.1335
5.44	-0.5835
5.441	-0.545
5.442	-0.79525
5.443	-0.63075
5.444	0.157625
5.445	0.9723125
5.446	0.7361875
5.447	0.45875
5.448	0.7504375
5.449	0.5044375
5.45	-0.1683125
5.451	-0.466625
5.452	-0.2614375
5.453	-0.1663125
5.454	-0.1326875
5.455	-0.3234375
5.456	-0.50875
5.457	0.2140625
5.458	1.168
5.459	0.9175
5.46	0.4335625
5.461	0.0444375
5.462	-0.4004375
5.463	-0.421125
5.464	-0.3588125
5.465	-0.24775
5.466	-0.1056875
5.467	-0.1070625
5.468	0.349625
5.469	1.13325
5.47	0.502125
5.471	-0.1313125
5.472	0.453375
5.473	0.6594375
5.474	0.0784375
5.475	-0.179625
5.476	-0.4603125
5.477	-1.019
5.478	-0.8814375
5.479	0.1819375
5.48	0.9980625
5.481	0.230375
5.482	-0.25975
5.483	-0.6086875
5.484	-0.92375
5.485	-0.690625
5.486	-0.4426875
5.487	0.27125
5.488	0.821875
5.489	0.4820625
5.49	-0.719
