Interval=	0.001 s
ExcelDateTime=	4.5714703475469265e+004	2/26/2025 16:53:00.280544
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
4.56	0.5171875
4.561	0.6369375
4.562	1.122563
4.563	1.402187
4.564	0.36025
4.565	-0.4176875
4.566	-0.0368125
4.567	-0.080125
4.568	0.1796875
4.569	1.034188
4.57	1.283063
4.571	0.6516875
4.572	-0.05925
4.573	0.150875
4.574	-0.11275
4.575	-0.5218125
4.576	-0.0166875
4.577	0.335625
4.578	0.5445625
4.579	0.9809375
4.58	1.470063
4.581	1.549063
4.582	1.097188
4.583	0.7719375
4.584	0.0243125
4.585	-1.006813
4.586	-0.60625
4.587	0.083625
4.588	0.3825
4.589	0.7079375
4.59	0.315125
4.591	0.502
4.592	0.9825
4.593	0.4119375
4.594	0.168
4.595	-0.034125
4.596	-0.5008125
4.597	-0.5070625
4.598	-0.211875
4.599	0.4033125
4.6	0.568625
4.601	-0.1278125
4.602	-0.54325
4.603	0.246625
4.604	1.508063
4.605	1.50925
4.606	0.9913125
4.607	1.060938
4.608	1.067563
4.609	0.4450625
4.61	-0.3375
4.611	-0.309625
4.612	-0.2294375
4.613	-0.0720625
4.614	-0.0346875
4.615	-0.281
4.616	0.168875
4.617	0.1923125
4.618	-0.66875
4.619	-0.4985625
4.62	0.1401875
4.621	-0.0265
4.622	0.041875
4.623	0.828875
4.624	1.193125
4.625	0.9944375
4.626	0.7223125
4.627	0.2999375
4.628	0.5178125
4.629	0.87
4.63	0.4185
4.631	-0.09275
4.632	0.0254375
4.633	0.60425
4.634	0.8470625
4.635	1.07
4.636	0.767625
4.637	-0.659375
4.638	-1.138875
4.639	0.074625
4.64	0.8171875
4.641	-0.175875
4.642	-0.25675
4.643	0.9254375
4.644	0.8841875
4.645	0.347875
4.646	-0.2783125
4.647	-0.8931875
4.648	-0.2969375
4.649	0.1450625
4.65	-0.513875
4.651	-0.73575
4.652	0.2704375
4.653	1.551313
4.654	NaN
4.655	1.97825
4.656	0.286875
4.657	-0.6109375
4.658	-0.18575
4.659	-0.5658125
4.66	-0.7665
4.661	-0.84775
4.662	-1.144937
4.663	-0.9760625
4.664	-0.7881875
4.665	-0.6730625
4.666	-0.0415
4.667	-0.035
4.668	-0.6235
4.669	-0.917875
4.67	-0.113375
4.671	0.991
4.672	1.034188
4.673	0.0083125
4.674	-0.35
4.675	1.038625
4.676	1.462625
4.677	0.786625
4.678	0.0403125
4.679	-0.5985
4.68	-0.7770625
4.681	-0.822375
4.682	-0.2105625
4.683	0.01925
4.684	-0.3316875
4.685	0.053625
4.686	0.2881875
4.687	0.4228125
4.688	0.5356875
4.689	0.6278125
