Interval=	0.001 s
ExcelDateTime=	4.5714706473035963e+004	2/26/2025 16:57:19.270307
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
3.22	0.2975
3.221	0.325125
3.222	0.119
3.223	0.2523125
3.224	0.2428125
3.225	0.016625
3.226	-0.079
3.227	-0.045375
3.228	-0.187125
3.229	-0.47825
3.23	-0.58125
3.231	-0.413875
3.232	-0.32825
3.233	-0.5671875
3.234	-0.59375
3.235	-0.438375
3.236	-0.20325
3.237	0.249875
3.238	0.5269375
3.239	0.442625
3.24	0.6079375
3.241	0.625125
3.242	0.463
3.243	0.851875
3.244	1.01125
3.245	0.463
3.246	0.14775
3.247	0.1645625
3.248	-0.0705625
3.249	-0.2258125
3.25	-0.2911875
3.251	-0.3013125
3.252	-0.25825
3.253	-0.231875
3.254	-0.2005
3.255	-0.177625
3.256	-0.1494375
3.257	-0.1369375
3.258	-0.1258125
3.259	-0.1799375
3.26	-0.33025
3.261	-0.2974375
3.262	-0.3313125
3.263	-0.1401875
3.264	0.0443125
3.265	-0.578125
3.266	-0.3750625
3.267	0.6238125
3.268	0.675375
3.269	0.859625
3.27	1.154125
3.271	0.57675
3.272	0.311
3.273	0.1270625
3.274	-0.166
3.275	-0.1349375
3.276	-0.0069375
3.277	-0.222625
3.278	-0.4693125
3.279	-0.3914375
3.28	-0.8135625
3.281	-0.821875
3.282	-0.51075
3.283	-0.4785625
3.284	-0.0589375
3.285	0.0973125
3.286	0.0886875
3.287	0.0415
3.288	-0.38425
3.289	0.0760625
3.29	0.75175
3.291	0.674875
3.292	1.292375
3.293	NaN
3.294	1.576938
3.295	0.7833125
3.296	0.5174375
3.297	0.757125
3.298	0.7243125
3.299	0.18325
3.3	-0.104125
3.301	-0.384625
3.302	-0.3735625
3.303	-0.2988125
3.304	-0.45925
3.305	-0.4924375
3.306	-0.3828125
3.307	-0.3001875
3.308	-0.230875
3.309	-0.215875
3.31	-0.258875
3.311	-0.0305625
3.312	-0.146625
3.313	-0.4268125
3.314	-0.06625
3.315	-0.0056875
3.316	0.1613125
3.317	0.7884375
3.318	0.4810625
3.319	0.14825
3.32	0.3658125
3.321	0.3081875
3.322	0.1676875
3.323	0.0673125
3.324	0.057125
3.325	0.204375
3.326	0.231875
3.327	0.2804375
3.328	-0.0028125
3.329	-0.447375
3.33	-0.2206875
3.331	-0.02425
3.332	-0.443875
3.333	-1.01875
3.334	-0.49325
3.335	0.1886875
3.336	0.5155
3.337	0.9059375
3.338	0.363375
3.339	-0.0101875
3.34	0.2398125
3.341	0.560375
