Interval=	0.001 s
ExcelDateTime=	4.5714697250337449e+004	2/26/2025 16:44:02.429156
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
1.95	0.065625
1.951	-0.1965
1.952	-1.022938
1.953	-0.768625
1.954	-0.218875
1.955	0.03625
1.956	-0.7335625
1.957	-1.949437
1.958	-1.215688
1.959	0.333625
1.96	0.3044375
1.961	-0.37075
1.962	-0.64825
1.963	-0.6823125
1.964	-0.5480625
1.965	-0.4911875
1.966	-0.706375
1.967	-0.9628125
1.968	-0.9445
1.969	-0.8418125
1.97	-0.9111875
1.971	-0.9191875
1.972	-0.9626875
1.973	-0.9403125
1.974	-0.8774375
1.975	-0.819625
1.976	-0.8216875
1.977	-0.6994375
1.978	0.0601875
1.979	0.8993125
1.98	1.682
1.981	0.9715
1.982	-0.772375
1.983	-0.9324375
1.984	-0.9114375
1.985	-1.260938
1.986	-1.170625
1.987	-1.320437
1.988	-1.460938
1.989	-1.693063
1.99	NaN
1.991	-1.632125
1.992	-0.967125
1.993	-1.151125
1.994	-1.36925
1.995	-1.393438
1.996	-1.489125
1.997	-1.559563
1.998	-1.591
1.999	-1.609563
2	-1.589938
2.001	-1.637063
2.002	-1.811125
2.003	-1.779313
2.004	-1.483188
2.005	-1.088938
2.006	-1.219625
2.007	-1.64325
2.008	-1.5855
2.009	-0.469125
2.01	0.94425
2.011	0.694875
2.012	-0.0246875
2.013	-0.17075
2.014	-1.079875
2.015	NaN
2.016	-1.762938
2.017	-1.251
2.018	-1.777813
2.019	NaN
2.02	-2.025625
2.021	NaN
2.022	-1.819063
2.023	-1.401625
2.024	-1.084313
2.025	-1.47175
2.026	-2.0365
2.027	NaN
2.028	-1.479813
2.029	-0.59275
2.03	-0.3050625
2.031	-1.188625
2.032	-2.017187
2.033	NaN
2.034	-0.989375
2.035	-0.0431875
2.036	-1.087
2.037	-2.018313
2.038	NaN
2.039	-1.3175
2.04	-0.933875
2.041	-1.012625
2.042	-1.12725
2.043	-1.0465
2.044	-0.7405625
2.045	-1.621188
2.046	NaN
2.047	NaN
2.048	-1.021187
2.049	-0.07175
2.05	-1.496125
2.051	NaN
2.052	-1.918063
2.053	-1.4105
2.054	-1.082437
2.055	-1.642625
2.056	-1.773063
2.057	-1.72775
2.058	-1.7355
2.059	-1.689688
2.06	-1.676313
2.061	-1.467
2.062	-0.7441875
2.063	-0.26975
2.064	-0.5304375
2.065	-1.148625
2.066	-1.0515
2.067	-0.71375
2.068	-1.683375
2.069	NaN
2.07	-1.148875
2.071	-0.4103125
2.072	-0.934
2.073	-1.071188
2.074	-1.366625
2.075	-2.039813
2.076	-2.024437
2.077	-1.487938
2.078	-0.776
2.079	-0.60575
2.08	-0.6789375
2.081	0.003875
2.082	0.5710625
2.083	-0.8225
2.084	NaN
2.085	-2.019625
2.086	-0.54775
2.087	-0.101875
2.088	-1.211188
2.089	-1.46925
2.09	-1.346062
2.091	-1.06525
2.092	-0.9165
2.093	-0.8679375
2.094	-0.8248125
2.095	-0.97225
2.096	-0.9188125
