Interval=	0.001 s
ExcelDateTime=	4.5714696435963589e+004	2/26/2025 16:42:52.067254
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
4.11	0.601125
4.111	0.514125
4.112	-0.6973125
4.113	-1.719375
4.114	-1.29375
4.115	-0.342875
4.116	-0.9035
4.117	-1.823625
4.118	-1.252813
4.119	0.02175
4.12	0.816125
4.121	0.2368125
4.122	0.1118125
4.123	-0.233
4.124	-1.6865
4.125	NaN
4.126	-0.9274375
4.127	0.8251875
4.128	1.102
4.129	0.2109375
4.13	-0.7204375
4.131	-0.2149375
4.132	0.321875
4.133	-1.3625
4.134	NaN
4.135	-1.934063
4.136	-0.5233125
4.137	0.2955
4.138	-0.6489375
4.139	-1.04075
4.14	-0.9605625
4.141	-0.342125
4.142	0.2025
4.143	-0.098625
4.144	-1.232125
4.145	-1.663625
4.146	-0.7359375
4.147	0.1745
4.148	-0.072875
4.149	-0.2953125
4.15	-0.02975
4.151	-0.3491875
4.152	-0.9986875
4.153	-1.02775
4.154	-0.3879375
4.155	0.06525
4.156	-0.19825
4.157	-0.8348125
4.158	-1.074875
4.159	-1.034688
4.16	-0.81275
4.161	-0.661125
4.162	-0.7415
4.163	-0.0348125
4.164	1.645625
4.165	1.393688
4.166	-0.57925
4.167	-1.963563
4.168	-1.735875
4.169	1.025438
4.17	1.477688
4.171	0.0284375
4.172	-0.534
4.173	-1.363
4.174	-1.503
4.175	-1.063375
4.176	-0.633
4.177	-0.092625
4.178	-0.2998125
4.179	-1.571125
4.18	NaN
4.181	-1.232188
4.182	-0.16475
4.183	0.1499375
4.184	0.2581875
4.185	0.5824375
4.186	0.5245625
4.187	-0.44625
4.188	-0.7345625
4.189	-0.0680625
4.19	0.2943125
4.191	-0.34625
4.192	-1.128
4.193	-0.80825
4.194	-0.3818125
4.195	-0.526875
4.196	-0.692125
4.197	-0.7734375
4.198	-0.9705625
4.199	-1.636813
4.2	NaN
4.201	-1.035187
4.202	-0.274125
4.203	-0.64175
4.204	-0.619875
4.205	-0.18775
4.206	0.18375
4.207	-0.0646875
4.208	-0.389875
4.209	-0.128125
