Interval=	0.001 s
ExcelDateTime=	4.5714698375541047e+004	2/26/2025 16:45:39.646746
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
2.61	0.73225
2.611	0.6145625
2.612	0.34
2.613	0.2848125
2.614	0.571375
2.615	0.670625
2.616	0.625875
2.617	0.699375
2.618	0.7353125
2.619	0.7284375
2.62	0.7566875
2.621	0.7409375
2.622	0.616625
2.623	0.63475
2.624	0.936375
2.625	0.986125
2.626	0.6948125
2.627	0.4476875
2.628	0.4799375
2.629	0.852375
2.63	1.3155
2.631	1.607938
2.632	1.0965
2.633	0.4588125
2.634	0.442125
2.635	0.553125
2.636	0.438625
2.637	-0.2785
2.638	-0.582
2.639	0.4648125
2.64	1.211875
2.641	0.8473125
2.642	0.7095625
2.643	0.733625
2.644	0.618875
2.645	0.5520625
2.646	0.46075
2.647	0.362875
2.648	0.323625
2.649	0.3186875
2.65	0.2795625
2.651	0.2815
2.652	0.3063125
2.653	0.3459375
2.654	0.44125
2.655	0.563375
2.656	0.64725
2.657	0.6753125
2.658	0.6025
2.659	0.456
2.66	0.3849375
2.661	0.400125
2.662	0.3379375
2.663	0.3538125
2.664	0.375125
2.665	0.1869375
2.666	-0.0595
2.667	-0.1943125
2.668	-0.1716875
2.669	-0.0383125
2.67	0.5960625
2.671	1.067438
2.672	0.7093125
2.673	0.168
2.674	0.2335625
2.675	0.8851875
2.676	1.016063
2.677	0.5574375
2.678	0.287125
2.679	0.1871875
2.68	0.3913125
2.681	0.693
2.682	0.8504375
2.683	0.7578125
2.684	0.5935625
2.685	0.480375
2.686	0.6233125
2.687	0.823375
2.688	0.325
2.689	0.204
2.69	0.3550625
2.691	0.5176875
2.692	0.9340625
2.693	0.9081875
2.694	0.6845625
2.695	0.3719375
2.696	0.0226875
2.697	-0.16675
2.698	-0.2450625
2.699	-0.2394375
2.7	-0.24075
2.701	-0.26275
2.702	-0.182875
2.703	-0.0461875
2.704	0.055
2.705	0.176625
2.706	0.1949375
2.707	0.2315625
2.708	0.411875
2.709	0.431875
2.71	0.2578125
2.711	0.01525
2.712	-0.1809375
2.713	0.1100625
2.714	0.4811875
2.715	0.7980625
2.716	1.462688
2.717	NaN
2.718	1.78825
2.719	-0.5205625
2.72	-1.280813
2.721	0.825125
2.722	NaN
2.723	1.402562
2.724	0.147625
2.725	-0.5513125
2.726	-0.877125
2.727	-0.9031875
2.728	-0.9263125
2.729	-1.06025
2.73	-1.174375
2.731	-1.075
2.732	-0.8876875
2.733	-0.84375
2.734	-0.772625
2.735	-0.6450625
2.736	-0.5304375
2.737	-0.531625
2.738	-0.673375
2.739	-0.6985625
2.74	-0.5545625
2.741	-0.449375
2.742	-0.5065625
2.743	-0.67175
2.744	-0.7639375
2.745	-0.719625
2.746	-0.6465625
2.747	-0.56875
2.748	-0.3973125
2.749	-0.341625
2.75	-0.45425
2.751	-0.65175
2.752	-0.8978125
2.753	-0.8436875
2.754	-0.7946875
2.755	-0.88675
2.756	-0.81775
2.757	-0.6688125
2.758	-0.63825
2.759	-0.771
2.76	-0.8978125
2.761	-0.798625
2.762	-0.745
2.763	-0.905625
2.764	-0.9451875
2.765	-0.742875
2.766	-0.052
2.767	0.2873125
2.768	-0.323
2.769	-0.964375
2.77	-1.095625
2.771	0.0119375
2.772	1.187437
2.773	0.756875
2.774	0.1983125
2.775	0.61425
2.776	0.229625
2.777	-0.9744375
2.778	-1.235563
2.779	-0.7045
2.78	-0.5561875
2.781	-0.7964375
2.782	-0.9893125
2.783	-1.275
2.784	-1.340875
2.785	-1.16425
2.786	-0.947125
2.787	-0.7850625
2.788	-0.729125
2.789	-0.7075
2.79	-0.60975
2.791	-0.36075
2.792	-0.30125
2.793	-0.653625
2.794	-0.8090625
2.795	-0.7320625
2.796	-0.8339375
2.797	-0.8720625
2.798	-0.756125
2.799	-0.32675
2.8	-0.38075
2.801	-1.297625
2.802	-0.990625
2.803	0.5361875
2.804	1.185375
2.805	1.295813
2.806	0.282125
2.807	-1.181812
2.808	-0.3305
2.809	1.064437
2.81	0.746
2.811	-0.713
2.812	-1.405313
2.813	-1.137625
2.814	-0.8575
2.815	-0.850125
2.816	-1.004688
2.817	-0.9695625
2.818	-1.052812
2.819	-1.038125
2.82	-0.7840625
2.821	-0.761
2.822	-0.92125
2.823	-0.9885
2.824	-0.5908125
2.825	-0.146375
2.826	-0.3135625
2.827	-0.50525
2.828	-0.5715
2.829	-0.741875
2.83	-0.9065625
2.831	-0.8855625
2.832	-0.8725
2.833	-1.0815
2.834	-1.253438
2.835	-0.9611875
2.836	-0.215375
2.837	0.3985625
2.838	0.8799375
2.839	0.174625
2.84	-0.88
2.841	-0.6449375
2.842	0.5824375
2.843	1.220188
2.844	0.1345
2.845	-0.7994375
2.846	-0.638625
2.847	-0.551875
2.848	-0.8318125
2.849	-1.015875
2.85	-1.11675
2.851	-0.9333125
2.852	-0.6653125
2.853	-0.5524375
2.854	-0.6384375
